2017-12-16-10-10-29    UserID [18]    Transaction Complete 
2017-12-16-10-10-29    UserID [27]    Transaction Complete 
2017-12-16-10-10-29    UserID [45]    Transaction Complete 
2017-12-16-10-10-29    UserID [21]    Transaction Complete 
2017-12-16-10-10-30    UserID [3]    Transaction Complete 
2017-12-16-10-10-30    UserID [2]    Transaction Complete 
2017-12-16-10-10-30    UserID [44]    Transaction Complete 
2017-12-16-10-10-30    UserID [28]    Transaction Complete 
2017-12-16-10-10-30    UserID [10]    Transaction Complete 
2017-12-16-10-10-30    UserID [12]    Transaction Complete 
2017-12-16-10-10-30    UserID [19]    Transaction Complete 
2017-12-16-10-10-30    UserID [41]    Transaction Complete 
2017-12-16-10-10-30    UserID [30]    Transaction Complete 
2017-12-16-10-10-30    UserID [7]    Transaction Complete 
2017-12-16-10-10-30    UserID [13]    Transaction Complete 
2017-12-16-10-10-30    UserID [11]    Transaction Complete 
2017-12-16-10-10-30    UserID [33]    Transaction Complete 
2017-12-16-10-10-30    UserID [46]    Transaction Complete 
2017-12-16-10-10-30    UserID [14]    Transaction Complete 
2017-12-16-10-10-30    UserID [25]    Transaction Complete 
2017-12-16-10-10-30    UserID [23]    Transaction Complete 
2017-12-16-10-10-30    UserID [16]    Transaction Complete 
2017-12-16-10-10-30    UserID [37]    Transaction Complete 
2017-12-16-10-10-30    UserID [49]    Transaction Complete 
2017-12-16-10-10-30    UserID [8]    Transaction Complete 
2017-12-16-10-10-30    UserID [39]    Transaction Complete 
2017-12-16-10-10-30    UserID [34]    Transaction Complete 
2017-12-16-10-10-30    UserID [31]    Transaction Complete 
2017-12-16-10-10-30    UserID [22]    Transaction Complete 
2017-12-16-10-10-30    UserID [9]    Transaction Complete 
2017-12-16-10-10-30    UserID [36]    Transaction Complete 
2017-12-16-10-10-30    UserID [20]    Transaction Complete 
2017-12-16-10-10-30    UserID [5]    Transaction Complete 
2017-12-16-10-10-30    UserID [48]    Transaction Complete 
2017-12-16-10-10-30    UserID [26]    Transaction Complete 
2017-12-16-10-10-30    UserID [47]    Transaction Complete 
2017-12-16-10-10-30    UserID [6]    Transaction Complete 
2017-12-16-10-10-30    UserID [4]    Transaction Complete 
2017-12-16-10-10-30    UserID [43]    Transaction Complete 
2017-12-16-10-10-30    UserID [24]    Transaction Complete 
2017-12-16-10-10-30    UserID [27]    Transaction Complete 
2017-12-16-10-10-30    UserID [17]    Transaction Complete 
2017-12-16-10-10-30    UserID [29]    Transaction Complete 
2017-12-16-10-10-30    UserID [0]    Transaction Complete 
2017-12-16-10-10-30    UserID [44]    Transaction Complete 
2017-12-16-10-10-30    UserID [32]    Transaction Complete 
2017-12-16-10-10-30    UserID [38]    Transaction Complete 
2017-12-16-10-10-30    UserID [35]    Transaction Complete 
2017-12-16-10-10-30    UserID [40]    Transaction Complete 
2017-12-16-10-10-30    UserID [15]    Transaction Complete 
2017-12-16-10-10-30    UserID [2]    Transaction Complete 
2017-12-16-10-10-30    UserID [37]    Transaction Complete 
2017-12-16-10-10-30    UserID [28]    Transaction Complete 
2017-12-16-10-10-30    UserID [21]    Transaction Complete 
2017-12-16-10-10-30    UserID [3]    Transaction Complete 
